"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","2020",55407.641086,
"BEL","GDP","TOT","USD_CAP","A","2020",51688.583464,"P"
"CZE","GDP","TOT","USD_CAP","A","2020",41121.096782,
"DNK","GDP","TOT","USD_CAP","A","2020",59346.890596,
"FIN","GDP","TOT","USD_CAP","A","2020",50176.937881,
"FRA","GDP","TOT","USD_CAP","A","2020",45494.488417,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",53809.843557,"P"
"ITA","GDP","TOT","USD_CAP","A","2020",41108.214758,
"LUX","GDP","TOT","USD_CAP","A","2020",117619.647997,"P"
"NLD","GDP","TOT","USD_CAP","A","2020",57482.115092,"P"
"NOR","GDP","TOT","USD_CAP","A","2020",68117.123175,
"POL","GDP","TOT","USD_CAP","A","2020",33356.123878,
"PRT","GDP","TOT","USD_CAP","A","2020",34240.614063,"E"
"SVK","GDP","TOT","USD_CAP","A","2020",31288.651882,"E"
"ESP","GDP","TOT","USD_CAP","A","2020",37850.876195,"P"
"SWE","GDP","TOT","USD_CAP","A","2020",53719.497913,
"EST","GDP","TOT","USD_CAP","A","2020",38359.249172,
"SVN","GDP","TOT","USD_CAP","A","2020",38727.415299,
"LVA","GDP","TOT","USD_CAP","A","2020",31367.284335,
"EA19","GDP","TOT","USD_CAP","A","2020",46367.710403,
