"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25034.74,
"AUS","GDP","TOT","MLN_USD","A","1961",25326.382,
"AUS","GDP","TOT","MLN_USD","A","1962",27913.206,
"AUS","GDP","TOT","MLN_USD","A","1963",30385.723,
"AUS","GDP","TOT","MLN_USD","A","1964",32694.467,
"AUS","GDP","TOT","MLN_USD","A","1965",34489.925,
"AUS","GDP","TOT","MLN_USD","A","1966",38285.311,
"AUS","GDP","TOT","MLN_USD","A","1967",41004.016,
"AUS","GDP","TOT","MLN_USD","A","1968",46488.435,
"AUS","GDP","TOT","MLN_USD","A","1969",52131.937,
"AUS","GDP","TOT","MLN_USD","A","1970",58744.426,
"AUS","GDP","TOT","MLN_USD","A","1971",64011.08,
"AUS","GDP","TOT","MLN_USD","A","1972",69667.086,
"AUS","GDP","TOT","MLN_USD","A","1973",78684.326,
"AUS","GDP","TOT","MLN_USD","A","1974",86152.081,
"AUS","GDP","TOT","MLN_USD","A","1975",96659.873,
"AUS","GDP","TOT","MLN_USD","A","1976",104079.405,
"AUS","GDP","TOT","MLN_USD","A","1977",110056.543,
"AUS","GDP","TOT","MLN_USD","A","1978",123092.289,
"AUS","GDP","TOT","MLN_USD","A","1979",137700.414,
"AUS","GDP","TOT","MLN_USD","A","1980",154714.29,
"AUS","GDP","TOT","MLN_USD","A","1981",177927.212,
"AUS","GDP","TOT","MLN_USD","A","1982",181561.596,
"AUS","GDP","TOT","MLN_USD","A","1983",196112.732,
"AUS","GDP","TOT","MLN_USD","A","1984",211307.195,
"AUS","GDP","TOT","MLN_USD","A","1985",228433.427,
"AUS","GDP","TOT","MLN_USD","A","1986",239508.375,
"AUS","GDP","TOT","MLN_USD","A","1987",260400.381,
"AUS","GDP","TOT","MLN_USD","A","1988",282358.294,
"AUS","GDP","TOT","MLN_USD","A","1989",298996.814,
"AUS","GDP","TOT","MLN_USD","A","1990",303536.564,
"AUS","GDP","TOT","MLN_USD","A","1991",313292.169,
"AUS","GDP","TOT","MLN_USD","A","1992",333745.071,
"AUS","GDP","TOT","MLN_USD","A","1993",354785.379,
