"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHDI","GROSSADJ","USD_CAP","A","1994",15929.721110797,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1995",16560.1204220848,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1996",16995.5843523382,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1997",17458.446736545,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1998",17669.4061445415,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1999",17952.6183658592,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2000",19094.7352159396,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2001",19220.9881340663,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2002",20305.6941613299,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2003",20986.6674174179,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2004",21809.289943023,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2005",22968.1187830738,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2006",23609.4069508992,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2007",24512.043698327,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2008",25023.5710584947,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2009",25395.4385164505,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2010",26355.5487772325,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2011",27263.8794588217,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2012",28398.0312090886,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2013",30354.2970855258,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2014",29973.823331184,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2015",30599.4788639738,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2016",29295.5059477255,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2017",29891.0114151918,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1995",16254.908291831,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1996",16936.5901019346,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1997",17885.5716274915,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1998",18852.2709325562,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1999",19888.6816682433,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2000",22232.1266580292,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2001",23825.9493782738,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2002",25571.4949357928,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2003",24479.7882119813,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2004",25425.180727136,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2005",25581.2513589009,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2006",27541.5770650349,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2007",29048.0362177556,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2008",30251.7291764812,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2009",30034.7043065362,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2010",29824.0988493715,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2011",30222.0288426771,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2012",30910.027039062,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2013",31517.2660595762,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2014",31761.7144250986,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2015",32026.7150269517,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2016",33112.7170860579,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2017",34244.5521237227,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2018",36378.0410340048,"E"
"NLD","HHDI","GROSSADJ","USD_CAP","A","2019",37115.8547108199,"E"
"CZE","HHDI","GROSSADJ","USD_CAP","A","1995",9319.80868021016,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1996",10163.9924904998,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1997",10570.8095409455,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1998",10532.3290483318,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1999",10952.1279772836,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2000",11903.543341278,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2001",12980.5807666813,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2002",13688.2846122152,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2003",14253.1846741712,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2004",14874.1348012068,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2005",15267.9942358595,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2006",15924.8882677705,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2007",16982.2610385649,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2008",17934.5260469879,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2009",18656.3098090743,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2010",19250.3784123141,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2011",19394.281379418,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2012",19842.0680912546,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2013",20841.7471910034,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2014",21889.7964426235,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2015",22313.3932226,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2016",23663.6652875739,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2017",25424.300200146,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2018",26945.1468999546,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2019",27992.7139285306,
"EU","HHDI","GROSSADJ","USD_CAP","A","1999",15995.3433925154,
"EU","HHDI","GROSSADJ","USD_CAP","A","2000",17406.830076876,
"EU","HHDI","GROSSADJ","USD_CAP","A","2001",18439.4399397053,
"EU","HHDI","GROSSADJ","USD_CAP","A","2002",19706.3838669672,
"EU","HHDI","GROSSADJ","USD_CAP","A","2003",19800.953549902,
"EU","HHDI","GROSSADJ","USD_CAP","A","2004",20602.4598837172,
"EU","HHDI","GROSSADJ","USD_CAP","A","2005",20847.6627979715,
"EU","HHDI","GROSSADJ","USD_CAP","A","2006",21874.542146007,
"EU","HHDI","GROSSADJ","USD_CAP","A","2007",22905.7771650563,
"EU","HHDI","GROSSADJ","USD_CAP","A","2008",24071.555696282,
"EU","HHDI","GROSSADJ","USD_CAP","A","2009",24035.4588006349,
"EU","HHDI","GROSSADJ","USD_CAP","A","2010",24909.900766576,
"EU","HHDI","GROSSADJ","USD_CAP","A","2011",25475.1290559023,
"EU","HHDI","GROSSADJ","USD_CAP","A","2012",25950.8951415284,
"EU","HHDI","GROSSADJ","USD_CAP","A","2013",26637.4299954629,
"EU","HHDI","GROSSADJ","USD_CAP","A","2014",27015.0357135717,
"EU","HHDI","GROSSADJ","USD_CAP","A","2015",27511.2595750044,
"EU","HHDI","GROSSADJ","USD_CAP","A","2016",29188.4816190898,
"EU","HHDI","GROSSADJ","USD_CAP","A","2017",30256.2700760209,
"EU","HHDI","GROSSADJ","USD_CAP","A","2018",31704.5139030194,
"EU","HHDI","GROSSADJ","USD_CAP","A","2019",32765.7110287447,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1995",19187.8398849317,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1996",19845.8780237008,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1997",20047.5614793324,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1998",20338.8606676772,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1999",21299.5238878629,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2000",22425.0654996845,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2001",23532.211094323,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2002",24520.5793540153,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2003",25066.5057171013,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2004",25968.6924192827,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2005",26000.9486643346,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2006",26879.2204158463,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2007",27909.7644549787,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2008",29093.3431272611,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2009",29204.7717039356,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2010",30711.1222952785,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2011",32107.4926965654,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2012",33295.3906269424,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2013",34223.5237813673,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2014",35129.6869781155,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2015",35492.3964342778,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2016",37893.9618546332,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2017",39289.5875253305,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2018",41270.5478633736,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2019",42172.9767694889,
"EA","HHDI","GROSSADJ","USD_CAP","A","1999",18440.9738731202,
"EA","HHDI","GROSSADJ","USD_CAP","A","2000",20052.2880185287,
"EA","HHDI","GROSSADJ","USD_CAP","A","2001",21168.4591056094,
"EA","HHDI","GROSSADJ","USD_CAP","A","2002",22509.9237164778,
"EA","HHDI","GROSSADJ","USD_CAP","A","2003",22518.4569812682,
"EA","HHDI","GROSSADJ","USD_CAP","A","2004",23321.8947752907,
"EA","HHDI","GROSSADJ","USD_CAP","A","2005",23547.3317108125,
"EA","HHDI","GROSSADJ","USD_CAP","A","2006",24670.3560780321,
"EA","HHDI","GROSSADJ","USD_CAP","A","2007",25638.0596820521,
"EA","HHDI","GROSSADJ","USD_CAP","A","2008",26699.3123826913,
"EA","HHDI","GROSSADJ","USD_CAP","A","2009",26540.1016423864,
"EA","HHDI","GROSSADJ","USD_CAP","A","2010",27357.6731694052,
"EA","HHDI","GROSSADJ","USD_CAP","A","2011",27843.2569665069,
"EA","HHDI","GROSSADJ","USD_CAP","A","2012",28237.6003595519,
"EA","HHDI","GROSSADJ","USD_CAP","A","2013",28960.9201548594,
"EA","HHDI","GROSSADJ","USD_CAP","A","2014",29349.8057725209,
"EA","HHDI","GROSSADJ","USD_CAP","A","2015",29807.7065647856,
"EA","HHDI","GROSSADJ","USD_CAP","A","2016",31499.4710456421,
"EA","HHDI","GROSSADJ","USD_CAP","A","2017",32546.5284334228,
"EA","HHDI","GROSSADJ","USD_CAP","A","2018",34023.1662843988,
"EA","HHDI","GROSSADJ","USD_CAP","A","2019",34981.9749136254,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1995",13157.5371750736,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1996",13469.5050003097,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1997",13788.8945340079,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1998",14451.3219404905,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1999",14579.7591875724,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2000",15707.489241211,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2001",16973.3335195373,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2002",18883.2765550998,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2003",19467.604574897,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2004",20560.3980128292,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2005",20437.1711258471,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2006",22131.0140599872,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2007",22939.3838702756,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2008",24398.7280588958,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2009",24570.897409969,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2010",22102.6136939493,"B"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2011",20129.5929502622,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2012",18687.5473734581,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2013",18617.4567569422,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2014",19276.784260733,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2015",19520.5288721692,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2016",19947.7599601852,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2017",20686.6124676978,"E"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2018",21459.5900437089,"E"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2019",22430.8060975399,"E"
"PRT","HHDI","GROSSADJ","USD_CAP","A","1995",11869.8927844139,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1996",12298.9972839263,
